Molar ratio,SBET_m2_g,Vpore_cm3_g,dpore,Pressure_MPa,Temperature_K,Mg_source_acetate_mg_source,Mg_source_nitrate_mg_source,Mg_source_other_mg_salts,Mg_source_oxide_mg_source,Solvent_aqueous_dmf_system,Solvent_non_aqueous_alcohol_dmf_system,Solvent_special_two_phase_system,Treatment_carbon_treatment,Treatment_framework_nitrogen,Treatment_metal_treatment,Treatment_no_treatment,Treatment_organic_acid_treatment,Treatment_other_treatment,Treatment_polymer_treatment,Treatment_post_base_treatment,Morphology_flower_like_structure,Morphology_other_morphology,Morphology_porous_structure,Morphology_rod_columnar_structure,Morphology_spherical_structure,Adsorption_capacity_mmol_g,split
2.35,962.0,0.54,2.32,0.00508917,273,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,0.82837,train
2.35,528.0,0.54,2.32,0.03583155975,298,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,4.23011,train
2.35,1275.43,0.54,2.32,0.03334,298,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,5.92993,train
2.35,1045.0,0.54,2.32,0.07819,313,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,7.87714,train
2.35,1045.0,0.54,2.32,0.000339611,333,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,1.91129,train
2.35,468.52,0.54,2.32,0.0548,298,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,3.1391,train
2.35,60.822,0.54,2.32,0.02233,298,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,1.32702,train
2.35,160.37,0.54,2.32,0.02734,298,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,0.7869,train
2.35,659.0,0.54,2.32,0.08264,273,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,6.23747,train
2.35,515.24,0.54,2.32,0.01994,298,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,3.16634,train
2.35,71.0618,0.54,2.32,0.0886,298,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,0.33091,train
2.35,88.388,0.54,2.32,0.01075,298,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,1.05754,train
2.35,528.0,0.54,2.32,0.0660253965,298,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,4.97821,train
2.35,130.42,0.54,2.32,0.017565,298,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,0.52367,train
2.35,1275.43,0.54,2.32,0.09475,298,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,7.31099,train
2.35,160.37,0.54,2.32,0.019912,273,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,0.75613,train
2.35,962.0,0.54,2.32,0.00214322,273,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,0.51692,train
2.35,375.0,0.54,2.32,0.07032664275,273,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,3.76216639344262,train
2.35,1000.4,0.54,2.32,0.04156,298,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,4.97703,train
2.35,261.24,0.54,2.32,0.033626,298,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,0.24721,train
2.35,937.53,0.54,2.32,0.08492,298,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,4.57759,train
2.35,197.25,0.54,2.32,0.10051,298,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,1.67303,train
2.35,160.37,0.54,2.32,0.084518,298,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,1.20118,train
2.35,130.42,0.54,2.32,0.05446,298,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,0.80117,train
2.35,962.0,0.54,2.32,0.00315267,273,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,0.61897,train
2.35,1107.0,0.54,2.32,0.099298,273,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,3.44719,train
2.35,1333.44,0.54,2.32,0.07127,298,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,6.76796,train
2.35,278.0242,0.54,2.32,0.00154,298,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,0.02306,train
2.35,402.0,0.54,2.32,0.091245189,298,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,0.922385714285714,train
2.35,402.0,0.54,2.32,0.030336705,298,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,0.757572321428571,train
2.35,1640.0,0.54,2.32,0.02897895,298,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,6.35715905476028,train
2.35,130.42,0.54,2.32,0.089177,273,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,1.18617,train
2.35,160.37,0.54,2.32,0.044755,298,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,0.93943,train
2.35,1640.0,0.54,2.32,0.0514062255,298,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,7.04695455578278,train
2.35,764.59,0.54,2.32,0.08879,298,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,5.57116,train
2.35,659.0,0.54,2.32,0.01032,273,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,3.25167,train
2.35,1000.4,0.54,2.32,0.08803,298,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,5.70802,train
2.35,1107.0,0.54,2.32,0.00997091,298,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,1.07022,train
2.35,793.5,0.54,2.32,0.05323,273,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,2.85756,train
2.35,192.564,0.54,2.32,0.00582,298,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,0.54566,train
2.35,468.52,0.54,2.32,0.07476,298,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,3.37928,train
2.35,60.822,0.54,2.32,0.03298,298,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,1.54098,train
2.35,375.0,0.54,2.32,0.00232135575,273,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,1.3218618852459,train
2.35,659.0,0.54,2.32,0.00701,323,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,0.91322,train
3.5699999999999945,659.0,0.39,0.77,0.00147,273,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,1.74821,train
3.5699999999999945,667.6,0.39,0.77,0.08049,298,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,3.37249,train
3.5699999999999945,659.0,0.39,0.77,0.00576,298,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,1.57699,train
3.5699999999999945,793.5,0.39,0.77,0.01965,273,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,1.86047,train
3.5699999999999945,402.0,0.39,0.77,0.05574597525,298,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,0.834356696428571,train
3.5699999999999945,38.9155,0.39,0.77,0.04509,298,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,0.22064,train
3.5699999999999945,659.0,0.39,0.77,0.08746,323,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,2.32051,train
3.5699999999999945,928.0,0.39,0.77,0.03935,298,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,6.54107,train
3.5699999999999945,1129.0,0.39,0.77,0.01998377,273,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,1.85813,train
3.5699999999999945,1640.0,0.39,0.77,0.005840373,273,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,5.63451601908657,train
3.5699999999999945,1064.0,0.39,0.77,0.05997309,298,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,2.35925,train
3.5699999999999945,160.37,0.39,0.77,0.089405,298,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,1.2307,train
3.5699999999999945,764.59,0.39,0.77,0.04933,298,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,4.66335,train
3.5699999999999945,659.0,0.39,0.77,0.01144,273,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,3.34314,train
3.5699999999999945,990.15,0.39,0.77,0.06144,298,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,3.86226,train
3.5699999999999945,928.0,0.39,0.77,0.01965,298,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,6.02431,train
3.5699999999999945,659.0,0.39,0.77,0.1,298,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,4.33645,train
3.5699999999999945,720.0,0.39,0.77,0.0559536915,298,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,6.4667,train
3.5699999999999945,924.19,0.39,0.77,0.1,303,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,3.89615,train
3.5699999999999945,1640.0,0.39,0.77,0.00153102075,298,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,1.18518586684844,train
3.5699999999999945,962.0,0.39,0.77,0.07018865,273,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,2.3591,train
3.5699999999999945,1107.0,0.39,0.77,0.07519472,273,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,3.1914,train
3.279999999999995,404.0,0.32,0.76,0.02027,300,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,2.81732,train
3.279999999999995,73.07,0.32,0.76,0.064533,298,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,0.32145,train
3.279999999999995,1064.0,0.32,0.76,0.02017502,298,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,1.58188,train
3.279999999999995,40.866,0.32,0.76,0.06869,298,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,1.72515,train
3.279999999999995,1064.0,0.32,0.76,0.06027952,273,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,3.19273,train
3.279999999999995,130.42,0.32,0.76,0.100519,273,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,1.32788,train
3.279999999999995,1064.0,0.32,0.76,0.00316817,298,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,0.57959,train
3.279999999999995,73.07,0.32,0.76,0.006231,298,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,0.0774,train
3.279999999999995,720.0,0.32,0.76,0.0610888425,298,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,6.6158,train
3.279999999999995,66.9985,0.32,0.76,0.04461,298,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,0.17823,train
3.279999999999995,1739.29,0.32,0.76,0.1,303,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,1.28697,train
3.279999999999995,962.0,0.32,0.76,0.09032064,298,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,1.72657,train
3.279999999999995,1045.0,0.32,0.76,0.08221,298,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,6.9725,train
3.279999999999995,659.0,0.32,0.76,0.10158,273,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,6.73706,train
3.279999999999995,928.0,0.32,0.76,0.00492,273,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,5.21713,train
3.279999999999995,1275.43,0.32,0.76,0.07845,298,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,7.02903,train
3.279999999999995,1107.0,0.32,0.76,0.00518455,298,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,0.76769,train
3.279999999999995,1739.29,0.32,0.76,0.1,323,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,1.11079,train
3.279999999999995,1129.0,0.32,0.76,0.01512191,273,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,1.70837,train
3.279999999999995,160.37,0.32,0.76,0.002307,298,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,0.25748,train
3.279999999999995,659.0,0.32,0.76,0.1,298,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,3.73336,train
3.279999999999995,1640.0,0.32,0.76,0.08590434825,298,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,7.82334764826176,train
3.279999999999995,1278.0,0.32,0.76,0.0250130895,298,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,3.11131,train
3.279999999999995,60.822,0.32,0.76,0.09295,298,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,2.26277,train
3.279999999999995,73.07,0.32,0.76,0.025022,298,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,0.19205,train
3.279999999999995,61.7464,0.32,0.76,0.01373,298,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,0.06048,train
3.279999999999995,1064.0,0.32,0.76,0.08028319,273,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,3.42068,train
3.279999999999995,160.37,0.32,0.76,0.069604,298,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,1.10819,train
3.279999999999995,924.19,0.32,0.76,0.1,323,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,2.37536,train
3.279999999999995,1061.0,0.32,0.76,0.058099755,298,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,2.39275,train
3.279999999999995,1640.0,0.27,0.77,0.00412494075,298,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,3.36207293796864,train
3.279999999999995,937.53,0.27,0.77,0.06818,298,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,4.41051,train
3.279999999999995,1640.0,0.27,0.77,0.0489582135,273,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,8.35487843671893,train
3.279999999999995,1061.0,0.27,0.77,0.0614536125,298,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,2.46869,train
3.279999999999995,60.822,0.27,0.77,0.06883,298,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,2.03662,train
3.279999999999995,962.0,0.27,0.77,0.09041893,273,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,2.55525,train
3.279999999999995,1061.0,0.27,0.77,0.08140146525,298,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,2.87374,train
3.279999999999995,1275.8,0.27,0.77,0.01336,298,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,0.19027,train
3.279999999999995,667.6,0.27,0.77,0.11321,273,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,5.73492,train
3.279999999999995,937.53,0.27,0.77,0.04808,298,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,4.12333,train
3.279999999999995,1064.0,0.27,0.77,0.02521645,273,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,2.39754,train
3.279999999999995,990.15,0.27,0.77,0.0382,298,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,3.56464,train
3.279999999999995,1045.0,0.27,0.77,0.10477,298,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,7.45037,train
3.279999999999995,38.9155,0.27,0.77,0.07615,298,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,0.33141,train
3.279999999999995,261.24,0.27,0.77,0.016587,298,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,0.15692,train
3.279999999999995,659.0,0.27,0.77,0.1,298,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,4.31486,train
3.279999999999995,1275.43,0.27,0.77,0.07099,298,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,6.875,train
