Molar ratio,SBET_m2_g,Vpore_cm3_g,Pressure_MPa,Temperature_K,Adsorption_capacity_mmol_g,Mg_source_acetate_mg_source,Mg_source_nitrate_mg_source,Mg_source_other_mg_salts,Mg_source_oxide_mg_source,Solvent_aqueous_dmf_system,Solvent_non_aqueous_alcohol_dmf_system,Solvent_special_two_phase_system,Treatment_carbon_treatment,Treatment_framework_nitrogen,Treatment_metal_treatment,Treatment_no_treatment,Treatment_organic_acid_treatment,Treatment_other_treatment,Treatment_polymer_treatment,Treatment_post_base_treatment,Morphology_flower_like_structure,Morphology_other_morphology,Morphology_porous_structure,Morphology_rod_columnar_structure,Morphology_spherical_structure
2.35,924.19,0.54,0.1,303,0.62271,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
2.35,924.19,0.54,0.1,303,1.27013,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
2.35,924.19,0.54,0.1,303,1.85762,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
2.35,924.19,0.54,0.1,303,2.26041,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
2.35,924.19,0.54,0.1,303,2.58461,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
2.35,924.19,0.54,0.1,303,2.83218,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
2.35,924.19,0.54,0.1,303,3.03653,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
2.35,924.19,0.54,0.1,303,3.20452,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
2.35,924.19,0.54,0.1,303,3.33911,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
2.35,924.19,0.54,0.1,303,3.46094,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
2.35,924.19,0.54,0.1,303,3.54346,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
2.35,924.19,0.54,0.1,303,3.62795,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
2.35,924.19,0.54,0.1,303,3.72422,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
2.35,924.19,0.54,0.1,303,3.78317,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
2.35,924.19,0.54,0.1,303,3.8431,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
2.35,924.19,0.54,0.1,303,3.89615,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
2.35,924.19,0.54,0.1,313,0.63647,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
2.35,924.19,0.54,0.1,313,1.09329,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
2.35,924.19,0.54,0.1,313,1.49118,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
2.35,924.19,0.54,0.1,313,1.78689,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
2.35,924.19,0.54,0.1,313,2.21326,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
2.35,924.19,0.54,0.1,313,2.35571,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
2.35,924.19,0.54,0.1,313,2.48048,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
2.35,924.19,0.54,0.1,313,2.57381,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
2.35,924.19,0.54,0.1,313,2.67991,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
2.35,924.19,0.54,0.1,313,2.74377,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
2.35,924.19,0.54,0.1,313,2.8145,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
2.35,924.19,0.54,0.1,313,2.87345,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
2.35,924.19,0.54,0.1,313,2.92944,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
2.35,924.19,0.54,0.1,313,2.97169,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
2.35,924.19,0.54,0.1,313,3.01393,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
2.35,924.19,0.54,0.1,313,3.06011,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
2.35,924.19,0.54,0.1,323,1.04024,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
2.35,924.19,0.54,0.1,323,1.52458,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
2.35,924.19,0.54,0.1,323,1.79082,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
2.35,924.19,0.54,0.1,323,1.91853,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
2.35,924.19,0.54,0.1,323,2.0266,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
2.35,924.19,0.54,0.1,323,2.10323,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
2.35,924.19,0.54,0.1,323,2.15922,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
2.35,924.19,0.54,0.1,323,2.21424,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
2.35,924.19,0.54,0.1,323,2.26631,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
2.35,924.19,0.54,0.1,323,2.30069,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
2.35,924.19,0.54,0.1,323,2.33704,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
2.35,924.19,0.54,0.1,323,2.37536,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
2.35,924.19,0.54,0.1,323,2.40974,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
2.35,924.19,0.54,0.1,323,2.451,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
2.35,924.19,0.54,0.1,323,2.47851,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
2.35,924.19,0.54,0.1,323,2.49325,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
2.35,924.19,0.54,0.1,323,2.51093,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
2.029644475878393,1278.0,0.39,0.0014935305,298,1.06467,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False
2.5226590152278865,1278.0,0.39,0.004847388,298,1.9916,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False
2.5193609091590434,1278.0,0.39,0.0083998425,298,2.39275,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False
2.823706925398988,1278.0,0.39,0.011814495,298,2.59916,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False
4.431709170086859,1278.0,0.39,0.01502953725,298,2.75495,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False
1.870559076878108,1278.0,0.39,0.018185811,298,2.89126,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False
2.9808080579750524,1278.0,0.39,0.0215599335,298,3.01394,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False
2.286026586584049,1278.0,0.39,0.0250130895,298,3.11131,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False
4.308844390241767,1278.0,0.39,0.02822813175,298,3.21062,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False
2.0761865565120288,1278.0,0.39,0.0313844055,298,3.3002,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False
2.771274525512736,1278.0,0.39,0.0348375615,298,3.39562,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False
3.40569681887927,1278.0,0.39,0.038252214,298,3.47546,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False
3.3341839345283018,1278.0,0.39,0.041506773,298,3.54167,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False
2.8066511678797057,1278.0,0.39,0.044781597,298,3.6254,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False
2.662748933904361,1278.0,0.39,0.04823576625,298,3.69551,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False
2.7601148649500207,1278.0,0.39,0.051550107,298,3.75782,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False
2.4931409004287453,1278.0,0.39,0.05486444775,298,3.82403,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False
2.3544952089762705,1278.0,0.39,0.0580207215,298,3.8805,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False
2.916406471842657,1278.0,0.39,0.06143436075,298,3.95061,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False
2.502477521481176,1278.0,0.39,0.064848,298,4.02071,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False
2.5431252017896417,1278.0,0.39,0.068143089,298,4.0694,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False
3.237732923989447,1278.0,0.39,0.07145742975,298,4.12587,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False
4.286436761152272,1278.0,0.39,0.0747717705,298,4.18234,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False
3.1362881591409386,1278.0,0.39,0.07812664125,298,4.22908,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False
1.9202299834785324,1278.0,0.39,0.081440982,298,4.28944,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False
1.9132189847352017,1278.0,0.39,0.084715806,298,4.34202,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False
4.14174064807215,1278.0,0.39,0.0881101935,298,4.38486,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False
2.5637284417282755,1278.0,0.39,0.08959865775,298,4.41212,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False
1.9904891050808495,1278.0,0.39,0.09287348175,298,4.45497,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False
3.1277189899076765,1278.0,0.39,0.09636716775,298,4.5056,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False
3.1739591833291945,1278.0,0.39,0.1,298,3.71333,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False
3.2216440290243544,1278.0,0.39,0.1,298,3.5175,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False
2.500003003169629,1278.0,0.39,0.1,298,2.90802,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False
1.386195277845425,1278.0,0.39,0.1,298,2.92001,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False
4.259761570455218,1061.0,0.32,0.00153304725,298,0.32274,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False
2.47115442559229,1061.0,0.32,0.00490716975,298,0.71999,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False
3.2836545961984447,1061.0,0.32,0.008341074,298,0.93809,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False
3.346268541470982,1061.0,0.32,0.01163514975,298,1.08999,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False
3.1559952695317883,1061.0,0.32,0.01490997375,298,1.20877,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False
2.603695373272675,1061.0,0.32,0.0182851095,298,1.33145,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False
2.51593186949664,1061.0,0.32,0.02157918525,298,1.4444,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False
3.132935819190486,1061.0,0.32,0.02487427425,298,1.54761,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False
3.752812612389041,1061.0,0.32,0.02820888,298,1.64303,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False
4.117083562203691,1061.0,0.32,0.03150295575,298,1.74234,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False
2.055709569826358,1061.0,0.32,0.03481830975,298,1.82218,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False
2.2232492295576,1061.0,0.32,0.03819243225,298,1.9137,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False
4.104013768279045,1061.0,0.32,0.04144699125,298,1.98576,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False
3.4104550977190446,1061.0,0.32,0.04476234525,298,2.08702,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False
3.811835615889749,1061.0,0.32,0.048076686,298,2.15907,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False
2.355524342736921,1061.0,0.32,0.051529842,298,2.2467,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False
3.1142294658712704,1061.0,0.32,0.0547458975,298,2.30512,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False
3.3348296218717897,1061.0,0.32,0.058099755,298,2.39275,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False
3.291861112846461,1061.0,0.32,0.0614536125,298,2.46869,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False
2.787557053655484,1061.0,0.32,0.064827735,298,2.54464,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False
1.3995586606233494,1061.0,0.32,0.0680437905,298,2.6089,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False
3.1056208712162747,1061.0,0.32,0.0715172115,298,2.68679,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False
2.4761380692875066,1061.0,0.32,0.0747717705,298,2.73937,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False
2.864812839578014,1061.0,0.32,0.078166158,298,2.81726,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False
4.195794070469041,1061.0,0.32,0.08140146525,298,2.87374,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False
2.770603641747935,1061.0,0.32,0.084715806,298,2.94579,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False
3.670374171444775,1061.0,0.32,0.08803014675,298,2.99837,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False
2.3187752798561627,1061.0,0.32,0.08959865775,298,3.03536,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False
3.2765269602200044,1061.0,0.32,0.09287348175,298,3.09768,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False
4.391838196944261,1061.0,0.32,0.096307386,298,3.1561,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False
2.0396951698779846,1061.0,0.32,0.1,298,2.43042,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False
1.2304832134049863,1061.0,0.32,0.1,298,1.9928,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False
2.8343947216965577,1061.0,0.32,0.1,298,1.74301,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False
2.000865921625497,1061.0,0.32,0.1,298,1.71503,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False
3.4424269488088086,978.0,0.27,0.0014732655,298,0.17085,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False
3.946385272417189,978.0,0.27,0.0049669515,298,0.40647,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False
2.840782938100005,978.0,0.27,0.00826102725,298,0.53889,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False
2.494312639966005,978.0,0.27,0.01155611625,298,0.64405,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False
2.8414825672086383,978.0,0.27,0.014870457,298,0.72778,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False
